DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
2021-11-26 06:45:00,2021-11-26,06:45:00,4,3,0,0.1335
2021-11-26 07:00:00,2021-11-26,07:00:00,4,3,0,0.139
2021-11-26 07:15:00,2021-11-26,07:15:00,4,3,0,0.1365
2021-11-26 07:30:00,2021-11-26,07:30:00,4,3,0,0.134
2021-11-26 07:45:00,2021-11-26,07:45:00,4,3,1,0.129
2021-11-26 08:00:00,2021-11-26,08:00:00,4,3,1,0.124
2021-11-26 08:15:00,2021-11-26,08:15:00,4,3,1,0.128
2021-11-26 08:30:00,2021-11-26,08:30:00,4,3,1,0.132
2021-11-26 08:45:00,2021-11-26,08:45:00,4,3,1,0.133
2021-11-26 09:00:00,2021-11-26,09:00:00,4,3,1,0.134
2021-11-26 09:15:00,2021-11-26,09:15:00,4,3,1,0.133
2021-11-26 09:30:00,2021-11-26,09:30:00,4,3,1,0.132
2021-11-26 09:45:00,2021-11-26,09:45:00,4,3,1,0.1315
2021-11-26 10:00:00,2021-11-26,10:00:00,4,3,1,0.131
2021-11-26 10:15:00,2021-11-26,10:15:00,4,3,1,0.161
2021-11-26 10:30:00,2021-11-26,10:30:00,4,3,1,0.191
2021-11-26 10:45:00,2021-11-26,10:45:00,4,3,1,0.2865
2021-11-26 11:00:00,2021-11-26,11:00:00,4,3,1,0.382
2021-11-26 11:15:00,2021-11-26,11:15:00,4,3,1,0.31
2021-11-26 11:30:00,2021-11-26,11:30:00,4,3,1,0.238
2021-11-26 11:45:00,2021-11-26,11:45:00,4,3,1,0.1855
2021-11-26 12:00:00,2021-11-26,12:00:00,4,3,1,0.133
2021-11-26 12:15:00,2021-11-26,12:15:00,4,3,1,0.127
2021-11-26 12:30:00,2021-11-26,12:30:00,4,3,1,0.121
2021-11-26 12:45:00,2021-11-26,12:45:00,4,3,1,0.1325
2021-11-26 13:00:00,2021-11-26,13:00:00,4,3,1,0.144
2021-11-26 13:15:00,2021-11-26,13:15:00,4,3,1,0.144
2021-11-26 13:30:00,2021-11-26,13:30:00,4,3,1,0.144
2021-11-26 13:45:00,2021-11-26,13:45:00,4,3,1,0.141
2021-11-26 14:00:00,2021-11-26,14:00:00,4,3,1,0.138
2021-11-26 14:15:00,2021-11-26,14:15:00,4,3,1,0.1505
2021-11-26 14:30:00,2021-11-26,14:30:00,4,3,1,0.163
2021-11-26 14:45:00,2021-11-26,14:45:00,4,3,1,0.1925
2021-11-26 15:00:00,2021-11-26,15:00:00,4,3,1,0.222
2021-11-26 15:15:00,2021-11-26,15:15:00,4,3,1,0.292
